name,team,bave,games,pa,atbat,hit,homerun,runsbat,stolen,bob,hbp,strikeout,sacrifice,dp,slg,obp,ops,rc27,xr27
Tetsuto Yamada,Yakult,0.324,143,685,596,193,29,89,15,74,8,95,2,10,0.539,0.403,0.941,8.08,7.81
Kento Imamiya,SoftBank,0.24,144,662,551,132,3,42,10,41,4,104,62,10,0.307,0.295,0.602,2.82,2.82
Ryosuke Kikuchi,Hiroshima,0.325,144,654,579,188,11,58,23,24,3,79,43,9,0.456,0.352,0.808,5.46,5.22
Takashi Toritani,Hanshin,0.313,144,644,550,172,8,73,10,87,2,80,1,14,0.415,0.406,0.82,6.39,6.18
Yoshihiro Maru,Hiroshima,0.31,144,644,536,166,19,67,26,100,4,95,0,12,0.491,0.419,0.91,7.66,7.44
Yohei Oshima,Dragons,0.318,141,642,585,186,2,28,28,43,6,56,6,3,0.366,0.369,0.735,5.4,5.2
Takumi Kuriyama,Seibu,0.288,144,642,532,153,3,61,3,96,3,100,2,9,0.383,0.394,0.777,5.96,5.89
Akira Nakamura,SoftBank,0.308,143,638,571,176,4,61,10,59,3,61,3,4,0.382,0.375,0.757,5.83,5.6
Shingo Kawabata,Yakult,0.305,142,637,580,177,10,69,2,43,3,62,8,10,0.421,0.355,0.775,5.44,5.23
Haruki Nishikawa,Fighters,0.265,143,637,555,147,8,57,43,63,3,139,16,1,0.389,0.343,0.732,5.16,5.03
Lee Dae Ho,SoftBank,0.3,144,625,566,170,19,68,0,46,10,97,0,18,0.454,0.362,0.816,5.64,5.5
Goro Okajima,Rakuten,0.283,142,618,545,154,7,53,9,57,4,71,9,7,0.382,0.353,0.735,4.81,4.71
Gomez,Hanshin,0.283,143,616,537,152,26,109,1,67,8,166,0,17,0.492,0.369,0.86,6.26,6.19
Yuto Sakamoto,GIANTS,0.279,144,616,545,152,16,61,23,55,2,88,9,3,0.42,0.344,0.764,5.54,5.48
Yuki Yanagida,SoftBank,0.317,144,615,524,166,15,70,33,72,16,131,0,8,0.452,0.413,0.865,7.55,7.31
Daichi Suzuki,Lotte,0.287,144,610,533,153,3,43,7,45,6,57,22,1,0.385,0.347,0.732,5.13,4.97
Taniyuki Kazutani,DeNA,0.263,142,609,525,138,16,72,39,70,7,135,3,12,0.438,0.355,0.793,5.68,5.61
Sho Nakata,Fighters,0.269,144,602,531,143,27,100,0,58,6,89,0,12,0.456,0.344,0.8,5.53,5.63
Ryoichi Adachi,ORIX,0.259,143,601,486,126,8,50,29,58,8,79,45,8,0.356,0.345,0.701,4.26,4.29
Hiroki Uemoto,Hanshin,0.276,131,600,515,142,7,38,20,70,6,97,7,7,0.39,0.368,0.758,5.31,5.19
Yuhei,Yakult,0.316,141,597,547,173,23,90,10,48,1,103,1,11,0.505,0.372,0.877,6.91,6.63
German,ORIX,0.25,141,595,532,133,7,52,30,54,4,95,2,17,0.346,0.322,0.668,3.57,3.58
Murton,Hanshin,0.338,142,591,532,180,14,84,2,46,7,64,0,19,0.477,0.394,0.872,6.59,6.33
Masahiko Morino,Dragons,0.288,141,588,507,146,13,86,3,69,1,66,5,20,0.432,0.37,0.802,5.53,5.43
Johns,Rakuten,0.221,138,581,448,99,24,71,2,118,12,140,0,16,0.426,0.394,0.82,5.86,5.99
Kazuya Fujita,Rakuten,0.269,144,579,517,139,2,36,3,16,3,55,41,12,0.317,0.294,0.611,2.8,2.75
Syuhei Murata,GIANTS,0.256,143,575,519,133,21,68,2,39,13,83,0,22,0.41,0.322,0.732,4.17,4.25
Pena,ORIX,0.255,140,572,502,128,32,90,2,59,10,124,0,15,0.486,0.344,0.83,5.68,5.67
Shogo Akiyama,Seibu,0.259,131,561,475,123,4,47,3,70,3,98,11,4,0.36,0.356,0.716,4.82,4.74
Katsuya Kazdonaka,Lotte,0.277,133,544,451,125,8,57,9,76,6,66,7,4,0.401,0.385,0.787,6.17,6.09
Yuya Hasegawa,SoftBank,0.3,135,541,473,142,6,55,7,54,7,95,0,8,0.414,0.375,0.79,5.73,5.62
Yang Daikang,Fighters,0.293,125,540,471,138,25,85,20,45,12,108,9,10,0.495,0.367,0.862,6.41,6.36
Takehiro Ishikawa,DeNA,0.248,138,539,483,120,7,36,9,32,8,98,16,9,0.346,0.306,0.652,3.56,3.52
Seichi Uchikawa,SoftBank,0.307,122,534,488,150,18,74,0,34,5,48,0,5,0.475,0.354,0.829,6.36,6.24
Ｔ−Okada,ORIX,0.269,130,533,472,127,24,75,4,37,17,107,5,10,0.481,0.343,0.824,5.6,5.53
Luna,Dragons,0.317,127,527,467,148,17,73,8,51,5,98,0,11,0.501,0.387,0.888,7.12,6.88
Shinnosuke Abe,GIANTS,0.248,131,526,459,114,19,57,1,58,7,77,0,16,0.425,0.34,0.765,4.74,4.73
Hisayoshi Chono,GIANTS,0.297,130,523,472,140,13,62,8,42,3,75,4,8,0.445,0.356,0.801,5.74,5.56
Keichi Hirano,ORIX,0.268,120,517,452,121,1,28,5,37,7,55,19,8,0.319,0.331,0.65,3.76,3.7
Keiji Ohbiki,Fighters,0.245,132,512,432,106,5,47,21,51,1,98,26,11,0.331,0.325,0.656,3.63,3.64
Baldiris,DeNA,0.255,139,510,451,115,17,52,0,43,11,66,0,20,0.437,0.331,0.768,4.6,4.62
Ginji,Rakuten,0.327,117,509,459,150,4,70,1,43,2,45,1,10,0.41,0.384,0.793,5.86,5.62
Eldred,Hiroshima,0.26,118,505,454,118,37,104,2,41,7,169,0,8,0.544,0.329,0.873,6.2,6.28
Hideto Asamura,Seibu,0.273,118,501,440,120,14,55,3,47,6,100,0,8,0.416,0.345,0.761,5.04,5.15
Kazuo Matsui,Rakuten,0.291,128,488,444,129,8,46,9,36,1,78,2,9,0.43,0.342,0.772,5.41,5.26
Ryoshuke Hirata,Dragons,0.277,119,488,429,119,11,65,7,54,1,65,0,13,0.399,0.357,0.755,5.07,5.06
Yasuyuki Kataoka,GIANTS,0.252,126,484,429,108,6,32,24,29,3,51,23,14,0.34,0.304,0.644,3.28,3.22
Yamato Maeda,Hanshin,0.264,121,481,398,105,1,24,11,28,4,52,50,7,0.319,0.318,0.637,3.2,3.11
Toshiaki Imae,Lotte,0.27,120,478,445,120,10,54,1,23,5,43,4,13,0.402,0.312,0.714,4.16,4.05
Cruz,Lotte,0.238,126,478,453,108,16,61,1,18,2,47,0,13,0.419,0.268,0.687,3.52,3.59
Masahiro Araki,Dragons,0.268,109,471,395,106,1,21,17,39,3,63,33,7,0.329,0.338,0.667,4.07,3.94
Takeya Nakamura,Seibu,0.257,111,466,382,98,34,90,0,79,2,124,0,13,0.579,0.384,0.963,7.4,7.47
Kazuhiro Hatakeyama,Yakult,0.31,113,464,422,131,17,79,2,36,2,54,1,17,0.481,0.365,0.846,6,5.85
Yoshitomo Tsutsugo,DeNA,0.3,114,461,410,123,22,77,2,47,2,100,0,7,0.529,0.373,0.902,7.16,6.93
Takuya Nakajima,Fighters,0.259,126,461,382,99,0,32,28,43,0,92,35,4,0.298,0.333,0.632,3.61,3.58
Mejia,Seibu,0.29,106,450,396,115,34,73,2,45,6,156,0,4,0.581,0.369,0.95,7.72,7.74
Balentien,Yakult,0.301,112,446,366,110,31,69,2,75,2,95,0,10,0.587,0.419,1.007,8.78,8.68
Motohiro Shima,Rakuten,0.263,126,432,350,92,1,36,6,65,1,84,11,13,0.309,0.375,0.684,4.15,4.23
Naoto Watanabe,Seibu,0.26,104,429,350,91,0,26,4,32,11,46,35,9,0.314,0.34,0.654,3.65,3.54
Hikaru Ito,ORIX,0.257,137,429,358,92,3,48,0,24,5,80,39,2,0.332,0.31,0.643,3.42,3.41
Miranda,Fighters,0.227,116,427,375,85,14,57,0,42,6,108,0,6,0.389,0.311,0.701,4.21,4.35
Nobuhiro Matsuda,SoftBank,0.301,101,423,392,118,18,56,12,24,2,80,1,13,0.505,0.341,0.846,5.71,5.66
Ginjiro Sumitani,Seibu,0.202,125,423,381,77,7,36,0,17,2,74,20,10,0.297,0.238,0.535,1.8,1.96
Eishin Soyogi,Hiroshima,0.269,114,416,353,95,8,41,7,39,5,57,17,14,0.399,0.348,0.748,4.21,4.19
Tetsuro Nishida,Rakuten,0.25,131,415,372,93,7,41,8,24,4,100,12,9,0.358,0.3,0.658,3.47,3.5
Tadahito Iguchi,Lotte,0.238,109,408,357,85,10,49,1,40,8,74,0,7,0.389,0.326,0.715,4.48,4.49
